segment,name,exchange,isin,instrument_type,instrument_key,lot_size,freeze_quantity,exchange_token,tick_size,trading_symbol,short_name,qty_multiplier,security_type,intraday_margin,intraday_leverage,Is present in nifty?,instrument_key
NSE_EQ,VERTOZ LIMITED,NSE,INE188Y01031,EQ,NSE_EQ|INE188Y01031,1,100000,18863,1,VERTOZ,,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE188Y01031
NSE_EQ,LLOYDS METALS N ENERGY L,NSE,INE281B01032,EQ,NSE_EQ|INE281B01032,1,100000,17313,10,LLOYDSME,Lloyds Metals,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE281B01032
NSE_EQ,CAMLIN FINE SCIENCES LTD,NSE,INE052I01032,EQ,NSE_EQ|INE052I01032,1,100000,6216,1,CAMLINFINE,Camlin Fine Sciences,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE052I01032
NSE_EQ,TD POWER SYSTEMS LTD.,NSE,INE419M01027,EQ,NSE_EQ|INE419M01027,1,100000,25178,5,TDPOWERSYS,TD Power Systems,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE419M01027
NSE_EQ,KERNEX MICROSYS(I) LTD,NSE,INE202H01019,EQ,NSE_EQ|INE202H01019,1,100000,13121,10,KERNEX,,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE202H01019
NSE_EQ,PG ELECTROPLAST LTD,NSE,INE457L01029,EQ,NSE_EQ|INE457L01029,1,100000,25358,5,PGEL,,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE457L01029
NSE_EQ,JINDAL SAW LIMITED,NSE,INE324A01032,EQ,NSE_EQ|INE324A01032,1,100000,3024,1,JINDALSAW,,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE324A01032
NSE_EQ,MULTI COMMODITY EXCHANGE,NSE,INE745G01035,EQ,NSE_EQ|INE745G01035,1,100000,31181,100,MCX,MCX,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE745G01035
NSE_EQ,TARSONS PRODUCTS LIMITED,NSE,INE144Z01023,EQ,NSE_EQ|INE144Z01023,1,100000,6943,1,TARSONS,Tarsons Products,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE144Z01023
NSE_EQ,PEARL GLOBAL IND LIMITED,NSE,INE940H01022,EQ,NSE_EQ|INE940H01022,1,100000,14260,10,PGIL,Pearl Global Industries,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE940H01022
NSE_EQ,VARUN BEVERAGES LIMITED,NSE,INE200M01039,EQ,NSE_EQ|INE200M01039,1,100000,18921,5,VBL,Varun Beverages,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE200M01039
NSE_EQ,AGI GREENPAC LIMITED,NSE,INE415A01038,EQ,NSE_EQ|INE415A01038,1,100000,1412,5,AGI,AGI Greenpac,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE415A01038
NSE_EQ,ONWARD TECHNOLOGIES LTD,NSE,INE229A01017,EQ,NSE_EQ|INE229A01017,1,100000,2481,5,ONWARDTEC,Onward Technologies,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE229A01017
NSE_EQ,SPML INFRA LIMITED,NSE,INE937A01023,EQ,NSE_EQ|INE937A01023,1,100000,3321,1,SPMLINFRA,SPML INFRA,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE937A01023
NSE_EQ,M AND B ENGINEERING LTD,NSE,INE08N601015,EQ,NSE_EQ|INE08N601015,1,100000,758150,5,MBEL,,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE08N601015
NSE_EQ,JSW STEEL LIMITED,NSE,INE019A01038,EQ,NSE_EQ|INE019A01038,1,100000,11723,10,JSWSTEEL,JSW Steel,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE019A01038
NSE_EQ,VALIANT ORGANICS LIMITED,NSE,INE565V01010,EQ,NSE_EQ|INE565V01010,1,100000,330,5,VALIANTORG,Valiant Organics,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE565V01010
NSE_EQ,GOLDIAM INTERNATIONAL LTD,NSE,INE025B01025,EQ,NSE_EQ|INE025B01025,1,100000,11971,5,GOLDIAM,Goldiam International,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE025B01025
NSE_EQ,SNOWMAN LOGISTICS LTD.,NSE,INE734N01019,EQ,NSE_EQ|INE734N01019,1,100000,4843,1,SNOWMAN,Snowman Logistics,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE734N01019
NSE_EQ,5PAISA CAPITAL LIMITED,NSE,INE618L01018,EQ,NSE_EQ|INE618L01018,1,100000,445,5,5PAISA,5Paisa Capital,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE618L01018
NSE_EQ,NORTHERN ARC CAPITAL LTD,NSE,INE850M01015,EQ,NSE_EQ|INE850M01015,1,100000,25426,5,NORTHARC,,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE850M01015
NSE_EQ,INVENTURUS KNOWLEDGE SO L,NSE,INE115Q01022,EQ,NSE_EQ|INE115Q01022,1,100000,28125,10,IKS,,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE115Q01022
NSE_EQ,JINDAL WORLDWIDE LTD,NSE,INE247D01039,EQ,NSE_EQ|INE247D01039,1,100000,20642,1,JINDWORLD,Jindal Worldwide,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE247D01039
NSE_EQ,REPRO INDIA LIMITED,NSE,INE461B01014,EQ,NSE_EQ|INE461B01014,1,100000,13126,5,REPRO,Repro India,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE461B01014
NSE_EQ,LLOYDS ENGG WORK LIMITED,NSE,INE093R01011,EQ,NSE_EQ|INE093R01011,1,100000,17801,1,LLOYDSENGG,LLOYDS STEELS,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE093R01011
NSE_EQ,ARVIND FASHIONS LIMITED,NSE,INE955V01021,EQ,NSE_EQ|INE955V01021,1,100000,9111,5,ARVINDFASN,Arvind Fashions,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE955V01021
NSE_EQ,R R KABEL LIMITED,NSE,INE777K01022,EQ,NSE_EQ|INE777K01022,1,100000,18566,10,RRKABEL,R R Kabel,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE777K01022
NSE_EQ,RAYMOND LIFESTYLE LIMITED,NSE,INE02ID01020,EQ,NSE_EQ|INE02ID01020,1,100000,25073,10,RAYMONDLSL,,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE02ID01020
NSE_EQ,EPACK DURABLE LIMITED,NSE,INE0G5901015,EQ,NSE_EQ|INE0G5901015,1,100000,22463,5,EPACK,,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE0G5901015
NSE_EQ,HERITAGE FOODS LTD,NSE,INE978A01027,EQ,NSE_EQ|INE978A01027,1,100000,4598,5,HERITGFOOD,Heritage Foods,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE978A01027
NSE_EQ,TIPS MUSIC LIMITED,NSE,INE716B01029,EQ,NSE_EQ|INE716B01029,1,100000,9117,5,TIPSMUSIC,Tips Industries,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE716B01029
NSE_EQ,PATEL ENGINEERING LTD.,NSE,INE244B01030,EQ,NSE_EQ|INE244B01030,1,100000,11699,1,PATELENG,Patel Engineering,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE244B01030
NSE_EQ,PARAG MILK FOODS LTD.,NSE,INE883N01014,EQ,NSE_EQ|INE883N01014,1,100000,17130,5,PARAGMILK,Parag Milk Foods,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE883N01014
NSE_EQ,THE SOUTH INDIAN BANK LTD,NSE,INE683A01023,EQ,NSE_EQ|INE683A01023,1,100000,5948,1,SOUTHBANK,The South Indian Bank,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE683A01023
NSE_EQ,PNB HOUSING FIN LTD.,NSE,INE572E01012,EQ,NSE_EQ|INE572E01012,1,100000,18908,5,PNBHOUSING,PNB Housing Finance,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE572E01012
NSE_EQ,STEEL AUTHORITY OF INDIA,NSE,INE114A01011,EQ,NSE_EQ|INE114A01011,1,100000,2963,1,SAIL,Steel Authority of India,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE114A01011
NSE_EQ,PENNAR INDUSTRIES LTD,NSE,INE932A01024,EQ,NSE_EQ|INE932A01024,1,100000,20621,1,PENIND,Pennar Industries,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE932A01024
NSE_EQ,CESC LTD,NSE,INE486A01021,EQ,NSE_EQ|INE486A01021,1,100000,628,1,CESC,CESC,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE486A01021
NSE_EQ,NAHAR POLY FILMS LIMITED,NSE,INE308A01027,EQ,NSE_EQ|INE308A01027,1,100000,14445,5,NAHARPOLY,Nahar Poly Films,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE308A01027
NSE_EQ,ORCHID PHARMA LIMITED,NSE,INE191A01027,EQ,NSE_EQ|INE191A01027,1,100000,926,5,ORCHPHARMA,ORCHID PHARMA,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE191A01027
NSE_EQ,MAHINDRA LIFESPACE DEVLTD,NSE,INE813A01018,EQ,NSE_EQ|INE813A01018,1,100000,8050,5,MAHLIFE,Mahindra Lifespace,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE813A01018
NSE_EQ,ELGI EQUIPMENTS LTD,NSE,INE285A01027,EQ,NSE_EQ|INE285A01027,1,100000,937,5,ELGIEQUIP,Elgi Equipments,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE285A01027
NSE_EQ,INDIA NIPPON ELECT  LTD,NSE,INE092B01025,EQ,NSE_EQ|INE092B01025,1,100000,4747,5,INDNIPPON,India Nippon Electricals,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE092B01025
